   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
      P4EST       3888   63700992          7 1.275207e+00 6.572959e-01 8.021015e-02 6.636948e-01 1.237496e-02
      P4EST       4800   78643200          7 1.579719e+00 7.091485e-01 8.920876e-02 1.118508e+00 1.246885e-02
      P4EST       5808   95158272          7 1.599533e+00 5.370790e-01 8.521621e-02 9.132679e-01 1.245133e-02
      P4EST       6912  113246208          7 1.190979e+00 5.778800e-01 8.347921e-02 1.013661e+00 1.236771e-02
      P4EST       8112  132907008          7 1.509327e+00 6.987432e-01 8.485737e-02 1.255306e+00 1.233087e-02
      P4EST       9408  154140672          7 1.509991e+00 7.517308e-01 8.663003e-02 1.595828e+00 1.249896e-02
      P4EST      10800  176947200          7 1.282396e+00 7.416243e-01 1.312924e-01 2.408218e+00 1.245521e-02
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
      P4EST         48    3145728          8 3.223806e+00 1.649462e+00 2.624879e-01 1.296714e+00 4.624330e-02
      P4EST        192   12582912          8 3.280344e+00 1.696369e+00 2.682823e-01 1.423514e+00 4.612872e-02
      P4EST        432   28311552          8 3.302532e+00 1.726564e+00 2.739027e-01 1.570225e+00 4.543107e-02
      P4EST        768   50331648          8 3.775949e+00 2.029491e+00 3.760257e-01 1.742871e+00 4.575949e-02
      P4EST       1200   78643200          8 3.666293e+00 1.976118e+00 3.738908e-01 1.807879e+00 4.608370e-02
      P4EST       1728  113246208          8 3.755909e+00 1.970128e+00 3.768832e-01 1.898224e+00 4.570772e-02
      P4EST       2352  154140672          8 3.862210e+00 1.984805e+00 3.883032e-01 2.011251e+00 4.581580e-02
      P4EST       3072  201326592          8 3.954942e+00 1.856090e+00 3.210224e-01 2.211448e+00 4.576494e-02
      P4EST       3888  254803968          8 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
      P4EST       4800  314572800          8 4.014892e+00 2.068232e+00 3.471690e-01 2.535808e+00 4.623572e-02
      P4EST       5808  380633088          8 3.952508e+00 2.025471e+00 3.508875e-01 2.770507e+00 4.642975e-02
      P4EST       6912  452984832          8 4.043900e+00 2.051228e+00 3.082797e-01 2.924961e+00 4.617673e-02
      P4EST       8112  531628032          8 4.511335e+00 1.938603e+00 3.077370e-01 3.200127e+00 4.583973e-02
      P4EST       9408  616562688          8 4.904408e+00 2.321810e+00 3.192123e-01 3.569052e+00 4.598621e-02
      P4EST      10800  707788800          8 4.877405e+00 2.430781e+00 4.056854e-01 5.409939e+00 4.672367e-02
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
      P4EST         48   12582912          9 1.264544e+01 8.092743e+00 1.110075e+00 6.009940e+00 1.811257e-01
      P4EST        192   50331648          9 1.334686e+01 8.476197e+00 1.126976e+00 6.585039e+00 1.822585e-01
      P4EST        432  113246208          9 1.339684e+01 8.364348e+00 1.090817e+00 7.040326e+00 1.812915e-01
      P4EST        768  201326592          9 1.394244e+01 9.871411e+00 1.219393e+00 7.436572e+00 1.832313e-01
      P4EST       1200  314572800          9 1.256665e+01 8.747367e+00 1.248386e+00 7.639060e+00 1.843179e-01
      P4EST       1728  452984832          9 1.392566e+01 1.090399e+01 1.267699e+00 9.648789e+00 1.833577e-01
      P4EST       2352  616562688          9 1.408911e+01 1.099651e+01 1.343860e+00 8.275622e+00 1.821958e-01
      P4EST       3072  805306368          9 1.359601e+01 9.978171e+00 1.339328e+00 9.397693e+00 1.836903e-01
      P4EST       3888 1019215872          9 1.374508e+01 1.060078e+01 1.331084e+00 8.925673e+00 1.871784e-01
      P4EST       4800 1258291200          9 1.690806e+01 9.621881e+00 1.361842e+00 9.049958e+00 1.866075e-01
      P4EST       5808 1522532352          9 1.422821e+01 9.054497e+00 1.425836e+00 1.017956e+01 1.875122e-01
      P4EST       6912 1811939328          9 1.456609e+01 9.255473e+00 1.435139e+00 1.152126e+01 1.855256e-01
      P4EST       8112 2126512128          9 1.440083e+01 1.009064e+01 1.336498e+00 1.008199e+01 1.813027e-01
      P4EST       9408 2466250752          9 1.499829e+01 1.077197e+01 1.344946e+00 1.021508e+01 1.817962e-01
      P4EST      10800 2831155200          9 1.614871e+01 1.096024e+01 1.628676e+00 1.519983e+01 1.831143e-01
