   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
      P4EST         48       3072          2 2.136989e-02 1.353940e-02 6.285671e-03 1.317943e-02 1.411099e-03
      P4EST        384      24576          2 4.138004e-02 2.079458e-02 6.974609e-03 3.140112e-02 1.532543e-03
      P4EST       1296      82944          2 9.157766e-02 3.253691e-02 7.783414e-03 8.515870e-02 1.645823e-03
      P4EST       3072     196608          2 1.850193e-01 7.133454e-02 1.179741e-02 2.657438e-01 1.714303e-03
      P4EST       6000     384000          2 3.821556e-01 1.193147e-01 2.021163e-02 7.826244e-01 1.872445e-03
      P4EST      10368     663552          2 6.617063e-01 1.507015e-01 3.235859e-02 1.559621e+00 1.798083e-03
      P4EST      16464    1053696          2 1.308384e+00 2.009381e-01 3.632093e-02 3.094251e+00 1.859853e-03
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
      P4EST         48      24576          3 6.740628e-02 4.875042e-02 1.686663e-02 3.937618e-02 2.073438e-03
      P4EST        384     196608          3 9.989885e-02 5.454595e-02 1.825108e-02 6.292785e-02 2.071840e-03
      P4EST       1296     663552          3 1.956722e-01 9.781111e-02 1.892396e-02 1.287488e-01 2.252402e-03
      P4EST       3072    1572864          3 3.141582e-01 1.207359e-01 2.019108e-02 2.854622e-01 2.386811e-03
      P4EST       6000    3072000          3 5.018899e-01 1.948119e-01 3.744433e-02 7.330515e-01 2.446320e-03
      P4EST      10368    5308416          3 8.627757e-01 1.874272e-01 4.301115e-02 1.657946e+00 2.303910e-03
      P4EST      16464    8429568          3 1.611355e+00 2.872724e-01 4.695534e-02 3.021696e+00 2.332480e-03
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
      P4EST         48     196608          4 3.877546e-01 2.014292e-01 8.617457e-02 1.791219e-01 6.556701e-03
      P4EST        384    1572864          4 4.687716e-01 2.282747e-01 9.066152e-02 2.124748e-01 6.492798e-03
      P4EST       1296    5308416          4 7.279454e-01 3.870336e-01 9.916679e-02 2.851181e-01 6.574869e-03
      P4EST       3072   12582912          4 1.052778e+00 3.058779e-01 1.013741e-01 4.145268e-01 6.578748e-03
      P4EST       6000   24576000          4 1.641000e+00 3.987054e-01 1.024370e-01 6.832752e-01 6.501929e-03
      P4EST      10368   42467328          4 1.714477e+00 4.620422e-01 1.592603e-01 1.781210e+00 6.706162e-03
      P4EST      16464   67436544          4 2.611522e+00 5.730783e-01 1.764509e-01 3.671295e+00 6.674452e-03
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
      P4EST         48    1572864          5 3.938580e+00 1.818964e+00 6.770607e-01 1.467250e+00 4.099072e-02
      P4EST        384   12582912          5 4.341472e+00 1.786867e+00 6.375188e-01 1.569385e+00 4.185741e-02
      P4EST       1296   42467328          5 5.445940e+00 2.146231e+00 8.076323e-01 1.813705e+00 4.126670e-02
      P4EST       3072  100663296          5 5.424605e+00 2.062796e+00 7.513530e-01 2.164134e+00 4.150514e-02
      P4EST       6000  196608000          5 5.728586e+00 2.151864e+00 7.080127e-01 2.684200e+00 4.166469e-02
      P4EST      10368  339738624          5 6.692250e+00 2.146056e+00 9.422128e-01 3.896449e+00 4.171925e-02
      P4EST      16464  539492352          5 7.299770e+00 2.326475e+00 1.046945e+00 6.795239e+00 4.165206e-02

