   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
  CARTESIAN         48       3072          4 3.140216e-03 1.655387e-02 3.186424e-03 1.281421e-02 1.072983e-03
  CARTESIAN        384      24576          4 4.000406e-03 1.949728e-02 4.064621e-03 4.139951e-02 1.194213e-03
  CARTESIAN       1296      82944          4 5.966408e-03 2.554101e-02 5.012759e-03 9.874611e-02 1.277942e-03
  CARTESIAN       3072     196608          4 1.247518e-02 4.433847e-02 6.130123e-03 3.018993e-01 1.491976e-03
  CARTESIAN       6000     384000          4 2.522523e-02 7.082734e-02 1.348899e-02 6.786762e-01 1.603250e-03
  CARTESIAN      10368     663552          4 4.172753e-02 1.170501e-01 1.629068e-02 1.479174e+00 1.710677e-03
  CARTESIAN      16464    1053696          4 6.570408e-02 1.495331e-01 2.211537e-02 3.004466e+00 1.705947e-03
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
  CARTESIAN         48      24576          8 7.694647e-03 6.215697e-02 6.812306e-03 4.187794e-02 1.404937e-03
  CARTESIAN        384     196608          8 8.779371e-03 9.229732e-02 7.411351e-03 7.015656e-02 1.546197e-03
  CARTESIAN       1296     663552          8 1.125187e-02 1.246275e-01 9.552811e-03 1.564151e-01 1.646952e-03
  CARTESIAN       3072    1572864          8 1.853209e-02 1.344404e-01 1.339473e-02 3.747265e-01 1.771306e-03
  CARTESIAN       6000    3072000          8 2.884759e-02 1.527739e-01 1.245045e-02 7.298067e-01 1.881390e-03
  CARTESIAN      10368    5308416          8 4.656126e-02 3.664734e-01 2.887034e-02 1.442009e+00 1.932112e-03
  CARTESIAN      16464    8429568          8 8.658885e-02 2.334272e-01 3.146674e-02 2.950550e+00 2.009591e-03
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
  CARTESIAN         48     196608         16 3.819532e-02 2.128215e-01 2.853690e-02 1.660877e-01 3.405496e-03
  CARTESIAN        384    1572864         16 4.093642e-02 2.506062e-01 3.143079e-02 2.091890e-01 3.452841e-03
  CARTESIAN       1296    5308416         16 5.231145e-02 6.003095e-01 4.774838e-02 3.170729e-01 3.557153e-03
  CARTESIAN       3072   12582912         16 4.501640e-02 6.734718e-01 4.894141e-02 4.894612e-01 3.651451e-03
  CARTESIAN       6000   24576000         16 6.081830e-02 4.409884e-01 5.462091e-02 8.045706e-01 3.637753e-03
  CARTESIAN      10368   42467328         16 8.748840e-02 4.247572e-01 5.732940e-02 1.588547e+00 3.699040e-03
  CARTESIAN      16464   67436544         16 1.188274e-01 6.645653e-01 7.943468e-02 2.885482e+00 3.928889e-03
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
  CARTESIAN         48    1572864         32 2.464360e-01 1.596266e+00 2.172969e-01 1.388356e+00 1.904295e-02
  CARTESIAN        384   12582912         32 2.209818e-01 1.735850e+00 2.231585e-01 1.610853e+00 1.915338e-02
  CARTESIAN       1296   42467328         32 2.799911e-01 1.957489e+00 2.605296e-01 1.857795e+00 1.906534e-02
  CARTESIAN       3072  100663296         32 3.265162e-01 2.030038e+00 2.601697e-01 2.321029e+00 1.912810e-02
  CARTESIAN       6000  196608000         32 3.770990e-01 2.225552e+00 3.732269e-01 2.853772e+00 1.899888e-02
  CARTESIAN      10368  339738624         32 4.191311e-01 2.379026e+00 4.145197e-01 4.038657e+00 1.913894e-02
  CARTESIAN      16464  539492352         32 5.774499e-01 2.489866e+00 4.447553e-01 5.466861e+00 1.904457e-02
