Solve,nparts,ngdofs,FESpaces,solver,AffineFEOperator,d,np,mesh,nc,Model,ngcells,ls,ir,enorm,L2Norm,path
0.057326994,48,44109,0.007294336,gamg,0.010456365,3,48,cartesian,48000,0.00678347,48000,10.0,1,1.3637002244817199e-13,0.001454373,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_48000_np_48_nr_10_solver_gamg_ir1.bson
0.083038038,384,368219,0.007805889,gamg,0.010969249,3,384,cartesian,384000,0.007101125,384000,10.0,1,4.1046968672495856e-13,0.002375852,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_384000_np_384_nr_10_solver_gamg_ir1.bson
0.146387488,1296,1260329,0.008203539,gamg,0.011333652,3,1296,cartesian,1296000,0.007297523,1296000,10.0,1,2.1800426081101105e-13,0.002406904,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_1296000_np_1296_nr_10_solver_gamg_ir1.bson
0.29843423,3072,3008439,0.010363047,gamg,0.011782166,3,3072,cartesian,3072000,0.00808554,3072000,10.0,1,1.5146560972727717e-12,0.017485119,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_3072000_np_3072_nr_10_solver_gamg_ir1.bson
0.677808641,6000,5900549,0.010898245,gamg,0.014101608,3,6000,cartesian,6000000,0.009662027,6000000,10.0,1,4.128791673073908e-13,0.018508348,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_6000000_np_6000_nr_10_solver_gamg_ir1.bson
1.453192043,10368,10224659,0.011268851,gamg,0.013903029,3,10368,cartesian,10368000,0.009522431,10368000,10.0,1,4.010078428000354e-13,0.018996392,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_10368000_np_10368_nr_10_solver_gamg_ir1.bson
2.98286669,16464,16268769,0.012187564,gamg,0.014348254,3,16464,cartesian,16464000,0.009791318,16464000,10.0,1,1.3561583353428135e-13,0.019474718,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_16464000_np_16464_nr_10_solver_gamg_ir1.bson
0.322871446,48,368219,0.017583595,gamg,0.081725744,3,48,cartesian,384000,0.031821115,384000,20.0,1,6.992057708856291e-13,0.004581837,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_384000_np_48_nr_10_solver_gamg_ir1.bson
0.375441958,384,3008439,0.017000199,gamg,0.08613244,3,384,cartesian,3072000,0.033623092,3072000,20.0,1,3.2752079541432385e-13,0.005577306,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_3072000_np_384_nr_10_solver_gamg_ir1.bson
0.472858187,1296,10224659,0.021020408,gamg,0.09241708,3,1296,cartesian,10368000,0.033915723,10368000,20.0,1,6.340397432888381e-13,0.005381661,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_10368000_np_1296_nr_10_solver_gamg_ir1.bson
0.631957198,3072,24320879,0.02075249,gamg,0.093660773,3,3072,cartesian,24576000,0.036166322,24576000,20.0,1,2.4496098807163357e-13,0.020549676,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_24576000_np_3072_nr_10_solver_gamg_ir1.bson
1.076922146,6000,47601099,0.021836428,gamg,0.096872164,3,6000,cartesian,48000000,0.036151843,48000000,20.0,1,6.76663000166742e-13,0.021298128,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_48000000_np_6000_nr_10_solver_gamg_ir1.bson
