Solve,nparts,ngdofs,FESpaces,solver,AffineFEOperator,d,np,mesh,nc,Model,ngcells,ls,ir,enorm,L2Norm,path
1.794065943,10368,82369319,0.023925153,gamg,0.096810772,3,10368,cartesian,82944000,0.036538548,82944000,20.0,1,2.308327583919725e-12,0.022062775,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_82944000_np_10368_nr_10_solver_gamg_ir1.bson
3.422787545,16464,130929539,0.025147481,gamg,0.098102373,3,16464,cartesian,131712000,0.039196024,131712000,20.0,1,4.1790925513990924e-13,0.022962932,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_131712000_np_16464_nr_10_solver_gamg_ir1.bson
1.148942996,48,1260329,0.051675915,gamg,0.244695127,3,48,cartesian,1296000,0.098061626,1296000,30.0,1,4.2211574674213527e-13,0.013585286,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_1296000_np_48_nr_10_solver_gamg_ir1.bson
1.333252967,384,10224659,0.061413382,gamg,0.262958206,3,384,cartesian,10368000,0.100927729,10368000,30.0,1,1.948021867317598e-13,0.014771868,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_10368000_np_384_nr_10_solver_gamg_ir1.bson
1.499417595,1296,34668989,0.09732542,gamg,0.268890737,3,1296,cartesian,34992000,0.104607335,34992000,30.0,1,1.3465886357865065e-12,0.015092086,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_34992000_np_1296_nr_10_solver_gamg_ir1.bson
1.905621489,3072,82369319,0.103542261,gamg,0.274875091,3,3072,cartesian,82944000,0.102476559,82944000,30.0,1,6.475467803007126e-13,0.014996594,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_82944000_np_3072_nr_10_solver_gamg_ir1.bson
2.321191984,6000,161101649,0.09934665,gamg,0.274257213,3,6000,cartesian,162000000,0.107222588,162000000,30.0,1,3.141882213497246e-13,0.028232307,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_162000000_np_6000_nr_10_solver_gamg_ir1.bson
3.245551198,10368,278641979,0.094620469,gamg,0.2758258,3,10368,cartesian,279936000,0.103219795,279936000,30.0,1,2.1695354010610553e-12,0.022714044,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_279936000_np_10368_nr_10_solver_gamg_ir1.bson
4.970100086,16464,442766309,0.093614268,gamg,0.27697478,3,16464,cartesian,444528000,0.104661877,444528000,30.0,1,8.25772831801025e-13,0.030170881,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_444528000_np_16464_nr_10_solver_gamg_ir1.bson
2.783420744,48,3008439,0.100062691,gamg,0.755508164,3,48,cartesian,3072000,0.223171834,3072000,40.0,1,1.4845854186907146e-13,0.238496737,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_3072000_np_48_nr_10_solver_gamg_ir1.bson
3.147348991,384,24320879,0.108034562,gamg,0.767315048,3,384,cartesian,24576000,0.236391597,24576000,40.0,1,1.1194959293708903e-12,0.324841507,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_24576000_np_384_nr_10_solver_gamg_ir1.bson
4.261453601,1296,82369319,0.137965947,gamg,0.775748645,3,1296,cartesian,82944000,0.242263206,82944000,40.0,1,2.592693980930069e-13,0.333666053,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_82944000_np_1296_nr_10_solver_gamg_ir1.bson
4.506517395,3072,195585759,0.142897297,gamg,0.788393434,3,3072,cartesian,196608000,0.252980159,196608000,40.0,1,1.6345797169044606e-13,0.346742197,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_196608000_np_3072_nr_10_solver_gamg_ir1.bson
5.428495698,6000,382402199,0.147649507,gamg,0.836188826,3,6000,cartesian,384000000,0.253403508,384000000,40.0,1,5.078744660512774e-13,0.335826202,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_384000000_np_6000_nr_10_solver_gamg_ir1.bson
5.866589348,10368,661250639,0.145809048,gamg,0.790792742,3,10368,cartesian,663552000,0.256055079,663552000,40.0,1,1.5249368599119871e-12,0.19983162,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_663552000_np_10368_nr_10_solver_gamg_ir1.bson
7.753654614,16464,1050563079,0.141230351,gamg,0.802629616,3,16464,cartesian,1053696000,0.257210071,1053696000,40.0,1,1.35829082700236e-12,0.1943421,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_1053696000_np_16464_nr_10_solver_gamg_ir1.bson
