RCL - Rows Computed Locally 
OCS - Owner Cells Strategy 

   STRATEGY     NPARTS     NCELLS         LS CartDisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
        OCS       4800    4915200         32 1.600224e-02 8.753717e-02 3.575384e-02 4.531999e-01 1.709674e-03
        OCS       5808    5947392         32 1.845822e-02 9.790245e-02 4.237211e-02 5.638534e-01 1.711706e-03
        OCS       6912    7077888         32 5.471094e-02 2.899225e-01 2.340390e-01 2.354583e+00 1.716645e-03
        OCS       8112    8306688         32 6.259640e-02 3.209175e-01 2.715036e-01 3.037719e+00 1.720827e-03
        OCS       9408    9633792         32 7.909677e-02 3.875559e-01 3.055818e-01 3.571108e+00 1.727780e-03
        OCS      10800   11059200         32 6.879412e-02 3.417851e-01 2.644417e-01 3.368418e+00 1.722238e-03
   STRATEGY     NPARTS     NCELLS         LS CartDisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
        RCL         48     196608         64 1.198633e-02 8.075886e-02 1.838988e-02 5.141786e-02 4.969580e-03
        RCL        192     786432         64 1.229526e-02 8.501367e-02 1.900903e-02 7.257905e-02 4.904856e-03
        RCL        432    1769472         64 1.416428e-02 9.265027e-02 1.992251e-02 1.135083e-01 4.945562e-03
        RCL        768    3145728         64 1.470389e-02 1.070325e-01 2.157659e-02 1.395981e-01 4.998683e-03
        RCL       1200    4915200         64 1.859248e-02 1.162374e-01 2.309388e-02 2.116990e-01 4.984480e-03
        RCL       1728    7077888         64 2.206237e-02 1.244213e-01 2.792433e-02 2.610506e-01 4.968926e-03
        RCL       2352    9633792         64 2.434684e-02 1.390418e-01 2.393585e-02 3.618467e-01 4.992336e-03
        RCL       3072   12582912         64 2.397318e-02 1.509784e-01 2.458457e-02 4.366265e-01 4.995922e-03
        RCL       3888   15925248         64 3.066563e-02 1.600888e-01 2.427546e-02 5.151386e-01 4.991241e-03
        RCL       4800   19660800         64 3.459418e-02 1.784799e-01 2.521749e-02 6.756460e-01 4.999462e-03
        RCL       5808   23789568         64 3.648897e-02 1.954766e-01 2.565898e-02 8.048535e-01 4.995527e-03
        RCL       6912   28311552         64 6.314054e-02 3.236703e-01 6.666070e-02 2.191237e+00 4.969488e-03
        RCL       8112   33226752         64 7.231634e-02 3.779182e-01 7.364358e-02 2.602583e+00 4.984320e-03
        RCL       9408   38535168         64 8.123070e-02 4.238424e-01 8.438994e-02 3.053260e+00 4.989193e-03
        RCL      10800   44236800         64 8.817524e-02 4.718405e-01 9.239379e-02 3.474689e+00 4.981977e-03
   STRATEGY     NPARTS     NCELLS         LS CartDisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
        OCS         48     196608         64 1.157122e-02 8.396323e-02 1.332022e-02 5.227205e-02 5.009204e-03
        OCS        192     786432         64 1.219978e-02 9.403876e-02 1.542508e-02 7.438968e-02 4.916978e-03
        OCS        432    1769472         64 1.400333e-02 9.848356e-02 1.971112e-02 1.145751e-01 4.961787e-03
        OCS        768    3145728         64 1.440813e-02 1.045196e-01 2.141532e-02 1.459719e-01 4.962737e-03
        OCS       1200    4915200         64 1.856846e-02 1.153153e-01 2.719386e-02 2.158354e-01 4.964841e-03
        OCS       1728    7077888         64 2.182737e-02 1.258456e-01 3.051628e-02 2.643629e-01 4.953515e-03
        OCS       2352    9633792         64 2.466081e-02 1.410120e-01 3.654363e-02 3.597645e-01 4.975931e-03
        OCS       3072   12582912         64 2.257323e-02 1.591888e-01 3.937336e-02 4.264155e-01 4.966401e-03
        OCS       3888   15925248         64 2.990207e-02 1.652209e-01 4.448278e-02 5.186652e-01 4.967007e-03
        OCS       4800   19660800         64 3.329412e-02 1.823290e-01 5.092035e-02 6.622571e-01 4.977159e-03
        OCS       5808   23789568         64 3.681249e-02 2.028557e-01 5.919855e-02 7.974000e-01 4.963624e-03
        OCS       6912   28311552         64 6.304844e-02 3.370329e-01 1.915781e-01 2.222207e+00 4.950309e-03
        OCS       8112   33226752         64 6.750087e-02 3.859839e-01 2.245744e-01 2.632097e+00 4.959577e-03
        OCS       9408   38535168         64 7.919220e-02 4.310635e-01 2.526472e-01 3.028527e+00 4.977014e-03
        OCS      10800   44236800         64 9.482159e-02 4.661458e-01 2.689525e-01 3.393323e+00 4.943194e-03
   STRATEGY     NPARTS     NCELLS         LS CartDisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
        RCL         48     786432        128 7.754476e-02 6.773413e-01 1.549309e-01 2.397998e-01 1.883709e-02
        RCL        192    3145728        128 8.633969e-02 7.401339e-01 1.591725e-01 2.759899e-01 1.876310e-02
        RCL        432    7077888        128 1.002894e-01 7.807899e-01 1.624261e-01 3.148213e-01 1.881925e-02
        RCL        768   12582912        128 1.050951e-01 9.270331e-01 1.807516e-01 3.587093e-01 1.911602e-02
        RCL       1200   19660800        128 1.383036e-01 9.620259e-01 1.902714e-01 4.227357e-01 1.872647e-02
        RCL       1728   28311552        128 1.433827e-01 9.812009e-01 1.758566e-01 4.741740e-01 1.855451e-02
        RCL       2352   38535168        128 1.532127e-01 9.994478e-01 1.773942e-01 5.426799e-01 1.836130e-02
        RCL       3072   50331648        128 1.506796e-01 1.010252e+00 1.747364e-01 6.120406e-01 1.824737e-02
        RCL       3888   63700992        128 1.611903e-01 1.035177e+00 1.748741e-01 6.923766e-01 1.827041e-02
        RCL       4800   78643200        128 1.655436e-01 1.055573e+00 1.751062e-01 7.965547e-01 1.821151e-02
        RCL       5808   95158272        128 1.791578e-01 1.107720e+00 1.739351e-01 9.173746e-01 1.819871e-02
        RCL       6912  113246208        128 2.104663e-01 1.230856e+00 2.384589e-01 2.081759e+00 1.838194e-02
        RCL       8112  132907008        128 2.313081e-01 1.265676e+00 2.337721e-01 2.797688e+00 1.841666e-02
        RCL       9408  154140672        128 2.437917e-01 1.261094e+00 2.415386e-01 3.143830e+00 1.887705e-02
        RCL      10800  176947200        128 2.597098e-01 1.372826e+00 2.648950e-01 3.887818e+00 1.852586e-02
   STRATEGY     NPARTS     NCELLS         LS CartDisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
        OCS         48     786432        128 5.029155e-02 5.994212e-01 5.480774e-02 2.447745e-01 1.848427e-02
        OCS        192    3145728        128 5.198982e-02 6.644003e-01 5.738223e-02 2.820925e-01 1.808698e-02
